# Generated from translation/korean-draft.tsv; unused 0x82xx dialog-font slots.
# character	codepoint	code bytes	file offset	2bpp tile bytes
뭐	U+BB50	82 C6	0x60C60	85 85 35 35 05 05 85 85 05 05 D1 D1 DD DD DD DD
뭘	U+BB58	82 C7	0x60C70	05 05 35 35 05 05 01 01 D9 D9 81 81 81 81 81 81
미	U+BBF8	82 C8	0x60C80	FD FD 85 85 B5 B5 B5 B5 B5 B5 85 85 CD CD FD FD
발	U+BC1C	82 C9	0x60C90	6B 6B 0B 0B 49 49 0B 0B 83 83 83 83 07 07 03 03
버	U+BC84	82 CA	0x60CA0	FD FD B5 B5 A5 A5 81 81 B5 B5 85 85 8D 8D FD FD
번	U+BC88	82 CB	0x60CB0	ED ED 6D 6D 01 01 6D 6D 0D 0D BD BD BF BF 81 81
봐	U+BD10	82 CC	0x60CC0	F9 F9 31 31 01 01 30 30 81 81 C1 C1 09 09 F9 F9
분	U+BD84	82 CD	0x60CD0	BD BD 81 81 BD BD 81 81 00 00 E7 E7 BF BF 81 81
빈	U+BE48	82 CE	0x60CE0	FD FD 6D 6D 0D 0D 6D 6D 0D 0D BD BD BF BF 81 81
빠	U+BE60	82 CF	0x60CF0	FD FD 41 41 41 41 00 00 59 59 01 01 FD FD FD FD
사	U+C0AC	82 D0	0x60D00	F9 F9 D9 D9 D9 D9 D8 D8 89 89 21 21 79 79 F9 F9
상	U+C0C1	82 D1	0x60D10	FB FB DB DB 99 99 0B 0B 6B 6B 83 83 BB BB 83 83
새	U+C0C8	82 D2	0x60D20	F5 F5 95 95 95 95 91 91 91 91 25 25 F5 F5 F5 F5
생	U+C0DD	82 D3	0x60D30	F5 F5 95 95 91 91 05 05 65 65 C1 C1 BD BD 81 81
서	U+C11C	82 D4	0x60D40	FD FD ED ED ED ED C9 C9 CD CD 95 95 FD FD FD FD
석	U+C11D	82 D5	0x60D50	DD DD D9 D9 D9 D9 25 25 75 75 81 81 FD FD FD FD
성	U+C131	82 D6	0x60D60	DD DD DD DD D9 D9 8D 8D 75 75 C1 C1 BD BD 81 81
소	U+C18C	82 D7	0x60D70	E7 E7 E7 E7 C3 C3 99 99 E7 E7 E7 E7 00 00 FF FF
수	U+C218	82 D8	0x60D80	E7 E7 E7 E7 89 89 BD BD 00 00 A5 A5 E7 E7 E7 E7
순	U+C21C	82 D9	0x60D90	E7 E7 E7 E7 99 99 BD BD 00 00 E7 E7 BF BF 81 81
습	U+C2B5	82 DA	0x60DA0	EF EF CF CF 93 93 01 01 01 01 BB BB 03 03 03 03
시	U+C2DC	82 DB	0x60DB0	FD FD ED ED ED ED CD CD C5 C5 95 95 FD FD FD FD
싫	U+C2EB	82 DC	0x60DC0	D9 D9 D9 D9 89 89 2D 2D 91 91 81 81 85 85 81 81
아	U+C544	82 DD	0x60DD0	9B 9B 4B 4B 6B 6B 69 69 6B 6B 0B 0B 9B 9B FB FB
안	U+C548	82 DE	0x60DE0	9B 9B 0B 0B 69 69 6B 6B 8B 8B FB FB BF BF 83 83
았	U+C558	82 DF	0x60DF0	9B 9B 0B 0B 69 69 2B 2B 9B 9B D7 D7 93 93 29 29
앙	U+C559	82 E0	0x60E00	8D 8D 25 25 74 74 0D 0D CD CD 83 83 BD BD 81 81
야	U+C57C	82 E1	0x60E10	9B 9B 4B 4B 69 69 6B 6B 69 69 0B 0B 9B 9B FB FB
얘	U+C598	82 E2	0x60E20	F5 F5 15 15 41 41 65 65 61 61 11 11 F5 F5 F5 F5
어	U+C5B4	82 E3	0x60E30	DD DD 85 85 B5 B5 B1 B1 B5 B5 85 85 CD CD FD FD
없	U+C5C6	82 E4	0x60E40	99 99 49 49 61 61 09 09 FB FB 0B 0B 03 03 05 05
엔	U+C5D4	82 E5	0x60E50	B9 B9 09 09 61 61 41 41 99 99 B1 B1 BF BF 81 81
오	U+C624	82 E6	0x60E60	C1 C1 BD BD BC BC 89 89 C3 C3 E7 E7 00 00 FF FF
와	U+C640	82 E7	0x60E70	D9 D9 01 01 71 71 00 00 C9 C9 01 01 09 09 F9 F9
요	U+C694	82 E8	0x60E80	81 81 BD BD 3C 3C 81 81 C3 C3 DB DB 00 00 FF FF
용	U+C6A9	82 E9	0x60E90	83 83 39 39 83 83 83 83 01 01 83 83 39 39 83 83
우	U+C6B0	82 EA	0x60EA0	81 81 BD BD 99 99 C3 C3 00 00 A5 A5 E7 E7 E7 E7
운	U+C6B4	82 EB	0x60EB0	81 81 BD BD 81 81 C3 C3 00 00 E7 E7 BF BF 81 81
울	U+C6B8	82 EC	0x60EC0	81 81 BD BD 81 81 00 00 81 81 C1 C1 81 81 81 81
원	U+C6D0	82 ED	0x60ED0	85 85 35 35 85 85 05 05 01 01 D9 D9 BF BF 81 81
웠	U+C6E0	82 EE	0x60EE0	89 89 21 21 89 89 01 01 D1 D1 DB DB 93 93 25 25
으	U+C73C	82 EF	0x60EF0	81 81 BD BD 3D 3D B9 B9 C3 C3 FF FF 00 00 FF FF
은	U+C740	82 F0	0x60F00	81 81 3D 3D 81 81 C3 C3 00 00 BF BF BF BF 81 81
을	U+C744	82 F1	0x60F10	83 83 3B 3B 83 83 01 01 03 03 83 83 83 83 03 03
의	U+C758	82 F2	0x60F20	ED ED 85 85 B9 B9 91 91 C5 C5 81 81 85 85 FD FD
이	U+C774	82 F3	0x60F30	DD DD 85 85 B5 B5 B5 B5 B5 B5 85 85 CD CD FD FD
임	U+C784	82 F4	0x60F40	CD CD 85 85 B5 B5 85 85 CD CD C1 C1 DD DD C1 C1
있	U+C788	82 F5	0x60F50	99 99 09 09 6D 6D 09 09 99 99 D3 D3 93 93 01 01
자	U+C790	82 F6	0x60F60	A9 A9 01 01 D9 D9 D8 D8 89 89 21 21 79 79 F9 F9
잖	U+C796	82 F7	0x60F70	05 05 DD DD CC CC 25 25 7B 7B A0 A0 A5 A5 81 81
장	U+C7A5	82 F8	0x60F80	05 05 DD DD DC DC 8D 8D 75 75 83 83 BD BD 81 81
재	U+C7AC	82 F9	0x60F90	95 95 05 05 D5 D5 91 91 91 91 25 25 F5 F5 F5 F5
저	U+C800	82 FA	0x60FA0	05 05 05 05 DD DD D1 D1 8D 8D 25 25 7D 7D FD FD
정	U+C815	82 FB	0x60FB0	05 05 85 85 D9 D9 8D 8D 75 75 C1 C1 BD BD 81 81
주	U+C8FC	82 FC	0x60FC0	81 81 E7 E7 C3 C3 BD BD 00 00 A5 A5 E7 E7 E7 E7
줄	U+C904	82 FD	0x60FD0	81 81 E7 E7 99 99 00 00 81 81 C1 C1 81 81 81 81
중	U+C911	82 FE	0x60FE0	81 81 E7 E7 99 99 00 00 00 00 81 81 BD BD 81 81
