# source	SNES target	file target	bytes at target
0x05F0C6	$85:F14B	0x05F14B	4F 68 0A 3C 20 18 3D 5E CD 58 46 3C 5D 53 0D 5D 20 3B 63 53 40 3C 0F CD 20 80 8C 80 6D 67 80 11 3C 50 80 10 4A CD 20 81 B9 6E 4A 0A 43 CC 00 00 69 00 01 02 75 4B 83 02 22 89 F1 02 CB 6B 02 27
0x08C776	$88:C886	0x08C886	20 81 8B 3E 4D 5E 61 68 0D 5D 4F 3C CD 20 4E 50 40 42 20 5E 4F 44 6E 4A 3C CC 00 00 49 00 00 02 75 F8 80 02 22 D7 C8 02 44 02 0B 01 80 C0 C8 02 63 AF C8 02 80 16 02 97 80 EF 02 45 02 2C 02 CB
0x08C7F0	$88:C886	0x08C886	20 81 8B 3E 4D 5E 61 68 0D 5D 4F 3C CD 20 4E 50 40 42 20 5E 4F 44 6E 4A 3C CC 00 00 49 00 00 02 75 F8 80 02 22 D7 C8 02 44 02 0B 01 80 C0 C8 02 63 AF C8 02 80 16 02 97 80 EF 02 45 02 2C 02 CB
0x0AB5F1	$85:F14B	0x05F14B	4F 68 0A 3C 20 18 3D 5E CD 58 46 3C 5D 53 0D 5D 20 3B 63 53 40 3C 0F CD 20 80 8C 80 6D 67 80 11 3C 50 80 10 4A CD 20 81 B9 6E 4A 0A 43 CC 00 00 69 00 01 02 75 4B 83 02 22 89 F1 02 CB 6B 02 27
0x0D5D9A	$CA:3333	0x0A3333	43 21 FF EF 10 9A 10 23 2F EF FF F1 20 0F 9A EF ED 14 30 F0 FE 02 01 8A 22 44 EA DF 01 22 F0 EB 9A EE F2 42 0F EF 10 00 21 8A 43 1C DD E1 20 22 DC DC 8A B2 74 2F FD E3 0F 22 36 8A 2D CE FD 05
0x10846B	$CF:A31F	0x0FA31F	1B 05 50 A4 01 8C A3 42 1B 05 6C A4 01 A8 A3 42 1B 05 88 A4 01 C4 A3 42 1B 05 A4 A4 01 E0 A3 42 1B 05 C0 A4 01 FC A3 42 1B 05 DC A4 01 18 A4 42 1B 05 F8 A4 00 60 00 A1 04 03 09 45 0D A7 11 E9
